"patch_number","pixel_id","patch_size","env","x","y"
NA,1,NA,1,1,1
NA,2,NA,1,1,2
NA,3,NA,1,1,3
NA,4,NA,1,1,4
NA,5,NA,1,1,5
NA,6,NA,1,1,6
NA,7,NA,1,1,7
NA,8,NA,1,1,8
36,9,40,10,1,9
36,10,40,10,1,10
36,11,40,10,1,11
36,12,40,10,1,12
36,13,40,10,1,13
36,14,40,10,1,14
NA,15,NA,1,1,15
NA,16,NA,1,1,16
NA,17,NA,1,1,17
NA,18,NA,1,1,18
NA,19,NA,1,1,19
NA,20,NA,1,1,20
NA,21,NA,1,1,21
NA,22,NA,1,1,22
NA,23,NA,1,1,23
4,24,40,10,1,24
4,25,40,10,1,25
NA,26,NA,1,1,26
NA,27,NA,1,1,27
NA,28,NA,1,1,28
9,29,36,10,1,29
NA,30,NA,1,1,30
9,31,36,10,1,31
9,32,36,10,1,32
9,33,36,10,1,33
NA,34,NA,1,1,34
20,35,33,10,1,35
20,36,33,10,1,36
20,37,33,10,1,37
20,38,33,10,1,38
20,39,33,10,1,39
20,40,33,10,1,40
20,41,33,10,1,41
20,42,33,10,1,42
NA,43,NA,1,1,43
NA,44,NA,1,1,44
NA,45,NA,1,1,45
NA,46,NA,1,1,46
NA,47,NA,1,1,47
NA,48,NA,1,1,48
NA,49,NA,1,1,49
NA,50,NA,1,1,50
NA,51,NA,1,2,1
NA,52,NA,1,2,2
NA,53,NA,1,2,3
NA,54,NA,1,2,4
NA,55,NA,1,2,5
19,56,14,10,2,6
19,57,14,10,2,7
36,58,40,10,2,8
36,59,40,10,2,9
36,60,40,10,2,10
36,61,40,10,2,11
36,62,40,10,2,12
36,63,40,10,2,13
36,64,40,10,2,14
NA,65,NA,1,2,15
NA,66,NA,1,2,16
NA,67,NA,1,2,17
NA,68,NA,1,2,18
NA,69,NA,1,2,19
NA,70,NA,1,2,20
NA,71,NA,1,2,21
NA,72,NA,1,2,22
4,73,40,10,2,23
4,74,40,10,2,24
4,75,40,10,2,25
4,76,40,10,2,26
4,77,40,10,2,27
9,78,36,10,2,28
9,79,36,10,2,29
9,80,36,10,2,30
9,81,36,10,2,31
9,82,36,10,2,32
9,83,36,10,2,33
20,84,33,10,2,34
20,85,33,10,2,35
20,86,33,10,2,36
20,87,33,10,2,37
20,88,33,10,2,38
20,89,33,10,2,39
20,90,33,10,2,40
20,91,33,10,2,41
20,92,33,10,2,42
NA,93,NA,1,2,43
NA,94,NA,1,2,44
NA,95,NA,1,2,45
NA,96,NA,1,2,46
31,97,35,10,2,47
31,98,35,10,2,48
31,99,35,10,2,49
31,100,35,10,2,50
14,101,42,10,3,1
NA,102,NA,1,3,2
NA,103,NA,1,3,3
NA,104,NA,1,3,4
19,105,14,10,3,5
19,106,14,10,3,6
19,107,14,10,3,7
19,108,14,10,3,8
36,109,40,10,3,9
36,110,40,10,3,10
36,111,40,10,3,11
36,112,40,10,3,12
36,113,40,10,3,13
NA,114,NA,1,3,14
36,115,40,10,3,15
NA,116,NA,1,3,16
NA,117,NA,1,3,17
NA,118,NA,1,3,18
NA,119,NA,1,3,19
NA,120,NA,1,3,20
NA,121,NA,1,3,21
NA,122,NA,1,3,22
NA,123,NA,1,3,23
4,124,40,10,3,24
4,125,40,10,3,25
4,126,40,10,3,26
4,127,40,10,3,27
4,128,40,10,3,28
9,129,36,10,3,29
9,130,36,10,3,30
9,131,36,10,3,31
9,132,36,10,3,32
9,133,36,10,3,33
9,134,36,10,3,34
9,135,36,10,3,35
20,136,33,10,3,36
20,137,33,10,3,37
20,138,33,10,3,38
20,139,33,10,3,39
20,140,33,10,3,40
20,141,33,10,3,41
20,142,33,10,3,42
NA,143,NA,1,3,43
NA,144,NA,1,3,44
NA,145,NA,1,3,45
31,146,35,10,3,46
31,147,35,10,3,47
31,148,35,10,3,48
31,149,35,10,3,49
31,150,35,10,3,50
14,151,42,10,4,1
14,152,42,10,4,2
NA,153,NA,1,4,3
19,154,14,10,4,4
19,155,14,10,4,5
19,156,14,10,4,6
19,157,14,10,4,7
19,158,14,10,4,8
36,159,40,10,4,9
36,160,40,10,4,10
36,161,40,10,4,11
36,162,40,10,4,12
36,163,40,10,4,13
36,164,40,10,4,14
36,165,40,10,4,15
36,166,40,10,4,16
NA,167,NA,1,4,17
NA,168,NA,1,4,18
NA,169,NA,1,4,19
NA,170,NA,1,4,20
NA,171,NA,1,4,21
NA,172,NA,1,4,22
NA,173,NA,1,4,23
4,174,40,10,4,24
4,175,40,10,4,25
4,176,40,10,4,26
4,177,40,10,4,27
NA,178,NA,1,4,28
9,179,36,10,4,29
9,180,36,10,4,30
9,181,36,10,4,31
9,182,36,10,4,32
9,183,36,10,4,33
9,184,36,10,4,34
9,185,36,10,4,35
9,186,36,10,4,36
20,187,33,10,4,37
20,188,33,10,4,38
20,189,33,10,4,39
20,190,33,10,4,40
20,191,33,10,4,41
NA,192,NA,1,4,42
NA,193,NA,1,4,43
NA,194,NA,1,4,44
31,195,35,10,4,45
31,196,35,10,4,46
31,197,35,10,4,47
31,198,35,10,4,48
31,199,35,10,4,49
31,200,35,10,4,50
14,201,42,10,5,1
14,202,42,10,5,2
14,203,42,10,5,3
NA,204,NA,1,5,4
19,205,14,10,5,5
19,206,14,10,5,6
19,207,14,10,5,7
NA,208,NA,1,5,8
NA,209,NA,1,5,9
36,210,40,10,5,10
36,211,40,10,5,11
36,212,40,10,5,12
36,213,40,10,5,13
36,214,40,10,5,14
36,215,40,10,5,15
36,216,40,10,5,16
NA,217,NA,1,5,17
NA,218,NA,1,5,18
NA,219,NA,1,5,19
NA,220,NA,1,5,20
NA,221,NA,1,5,21
NA,222,NA,1,5,22
NA,223,NA,1,5,23
4,224,40,10,5,24
4,225,40,10,5,25
4,226,40,10,5,26
4,227,40,10,5,27
4,228,40,10,5,28
9,229,36,10,5,29
9,230,36,10,5,30
9,231,36,10,5,31
9,232,36,10,5,32
9,233,36,10,5,33
9,234,36,10,5,34
9,235,36,10,5,35
NA,236,NA,1,5,36
20,237,33,10,5,37
20,238,33,10,5,38
20,239,33,10,5,39
NA,240,NA,1,5,40
NA,241,NA,1,5,41
NA,242,NA,1,5,42
NA,243,NA,1,5,43
31,244,35,10,5,44
31,245,35,10,5,45
31,246,35,10,5,46
31,247,35,10,5,47
31,248,35,10,5,48
31,249,35,10,5,49
31,250,35,10,5,50
14,251,42,10,6,1
14,252,42,10,6,2
14,253,42,10,6,3
NA,254,NA,1,6,4
NA,255,NA,1,6,5
8,256,19,10,6,6
NA,257,NA,1,6,7
NA,258,NA,1,6,8
NA,259,NA,1,6,9
NA,260,NA,1,6,10
NA,261,NA,1,6,11
36,262,40,10,6,12
36,263,40,10,6,13
36,264,40,10,6,14
36,265,40,10,6,15
36,266,40,10,6,16
