"patch_number","pixel_id","patch_size","env","x","y"
NA,1,NA,1,1,1
NA,2,NA,1,1,2
NA,3,NA,1,1,3
NA,4,NA,1,1,4
NA,5,NA,1,1,5
NA,6,NA,1,1,6
NA,7,NA,1,1,7
17,8,34,10,1,8
17,9,34,10,1,9
17,10,34,10,1,10
17,11,34,10,1,11
17,12,34,10,1,12
NA,13,NA,1,1,13
NA,14,NA,1,1,14
NA,15,NA,1,1,15
NA,16,NA,1,1,16
NA,17,NA,1,1,17
NA,18,NA,1,1,18
NA,19,NA,1,1,19
NA,20,NA,1,1,20
NA,21,NA,1,1,21
NA,22,NA,1,1,22
NA,23,NA,1,1,23
NA,24,NA,1,1,24
NA,25,NA,1,1,25
NA,26,NA,1,1,26
NA,27,NA,1,1,27
NA,28,NA,1,1,28
NA,29,NA,1,1,29
NA,30,NA,1,1,30
NA,31,NA,1,1,31
NA,32,NA,1,1,32
NA,33,NA,1,1,33
NA,34,NA,1,1,34
NA,35,NA,1,1,35
NA,36,NA,1,1,36
NA,37,NA,1,1,37
2,38,34,10,1,38
2,39,34,10,1,39
2,40,34,10,1,40
NA,41,NA,1,1,41
NA,42,NA,1,1,42
NA,43,NA,1,1,43
NA,44,NA,1,1,44
NA,45,NA,1,1,45
NA,46,NA,1,1,46
NA,47,NA,1,1,47
5,48,19,10,1,48
NA,49,NA,1,1,49
NA,50,NA,1,1,50
NA,51,NA,1,2,1
NA,52,NA,1,2,2
NA,53,NA,1,2,3
NA,54,NA,1,2,4
NA,55,NA,1,2,5
NA,56,NA,1,2,6
17,57,34,10,2,7
17,58,34,10,2,8
17,59,34,10,2,9
17,60,34,10,2,10
17,61,34,10,2,11
NA,62,NA,1,2,12
17,63,34,10,2,13
NA,64,NA,1,2,14
NA,65,NA,1,2,15
NA,66,NA,1,2,16
NA,67,NA,1,2,17
NA,68,NA,1,2,18
NA,69,NA,1,2,19
NA,70,NA,1,2,20
NA,71,NA,1,2,21
NA,72,NA,1,2,22
NA,73,NA,1,2,23
NA,74,NA,1,2,24
NA,75,NA,1,2,25
NA,76,NA,1,2,26
NA,77,NA,1,2,27
NA,78,NA,1,2,28
NA,79,NA,1,2,29
NA,80,NA,1,2,30
NA,81,NA,1,2,31
NA,82,NA,1,2,32
NA,83,NA,1,2,33
NA,84,NA,1,2,34
NA,85,NA,1,2,35
2,86,34,10,2,36
2,87,34,10,2,37
2,88,34,10,2,38
2,89,34,10,2,39
2,90,34,10,2,40
NA,91,NA,1,2,41
NA,92,NA,1,2,42
NA,93,NA,1,2,43
NA,94,NA,1,2,44
NA,95,NA,1,2,45
NA,96,NA,1,2,46
5,97,19,10,2,47
5,98,19,10,2,48
5,99,19,10,2,49
5,100,19,10,2,50
NA,101,NA,1,3,1
NA,102,NA,1,3,2
NA,103,NA,1,3,3
NA,104,NA,1,3,4
10,105,23,10,3,5
17,106,34,10,3,6
17,107,34,10,3,7
17,108,34,10,3,8
17,109,34,10,3,9
17,110,34,10,3,10
17,111,34,10,3,11
17,112,34,10,3,12
17,113,34,10,3,13
17,114,34,10,3,14
NA,115,NA,1,3,15
NA,116,NA,1,3,16
NA,117,NA,1,3,17
NA,118,NA,1,3,18
NA,119,NA,1,3,19
NA,120,NA,1,3,20
NA,121,NA,1,3,21
NA,122,NA,1,3,22
NA,123,NA,1,3,23
NA,124,NA,1,3,24
NA,125,NA,1,3,25
NA,126,NA,1,3,26
NA,127,NA,1,3,27
NA,128,NA,1,3,28
NA,129,NA,1,3,29
NA,130,NA,1,3,30
NA,131,NA,1,3,31
NA,132,NA,1,3,32
NA,133,NA,1,3,33
7,134,34,10,3,34
2,135,34,10,3,35
2,136,34,10,3,36
2,137,34,10,3,37
2,138,34,10,3,38
2,139,34,10,3,39
2,140,34,10,3,40
NA,141,NA,1,3,41
NA,142,NA,1,3,42
NA,143,NA,1,3,43
NA,144,NA,1,3,44
NA,145,NA,1,3,45
NA,146,NA,1,3,46
5,147,19,10,3,47
5,148,19,10,3,48
5,149,19,10,3,49
5,150,19,10,3,50
NA,151,NA,1,4,1
NA,152,NA,1,4,2
NA,153,NA,1,4,3
10,154,23,10,4,4
10,155,23,10,4,5
10,156,23,10,4,6
17,157,34,10,4,7
17,158,34,10,4,8
17,159,34,10,4,9
17,160,34,10,4,10
17,161,34,10,4,11
17,162,34,10,4,12
17,163,34,10,4,13
17,164,34,10,4,14
NA,165,NA,1,4,15
NA,166,NA,1,4,16
NA,167,NA,1,4,17
NA,168,NA,1,4,18
NA,169,NA,1,4,19
NA,170,NA,1,4,20
NA,171,NA,1,4,21
NA,172,NA,1,4,22
NA,173,NA,1,4,23
NA,174,NA,1,4,24
43,175,46,10,4,25
NA,176,NA,1,4,26
43,177,46,10,4,27
NA,178,NA,1,4,28
NA,179,NA,1,4,29
NA,180,NA,1,4,30
NA,181,NA,1,4,31
7,182,34,10,4,32
7,183,34,10,4,33
7,184,34,10,4,34
7,185,34,10,4,35
2,186,34,10,4,36
2,187,34,10,4,37
2,188,34,10,4,38
2,189,34,10,4,39
2,190,34,10,4,40
NA,191,NA,1,4,41
NA,192,NA,1,4,42
NA,193,NA,1,4,43
NA,194,NA,1,4,44
NA,195,NA,1,4,45
NA,196,NA,1,4,46
5,197,19,10,4,47
5,198,19,10,4,48
5,199,19,10,4,49
5,200,19,10,4,50
NA,201,NA,1,5,1
NA,202,NA,1,5,2
10,203,23,10,5,3
10,204,23,10,5,4
10,205,23,10,5,5
10,206,23,10,5,6
10,207,23,10,5,7
17,208,34,10,5,8
17,209,34,10,5,9
17,210,34,10,5,10
17,211,34,10,5,11
17,212,34,10,5,12
17,213,34,10,5,13
NA,214,NA,1,5,14
NA,215,NA,1,5,15
NA,216,NA,1,5,16
NA,217,NA,1,5,17
NA,218,NA,1,5,18
NA,219,NA,1,5,19
NA,220,NA,1,5,20
NA,221,NA,1,5,21
NA,222,NA,1,5,22
43,223,46,10,5,23
43,224,46,10,5,24
43,225,46,10,5,25
43,226,46,10,5,26
43,227,46,10,5,27
43,228,46,10,5,28
43,229,46,10,5,29
NA,230,NA,1,5,30
7,231,34,10,5,31
7,232,34,10,5,32
7,233,34,10,5,33
7,234,34,10,5,34
2,235,34,10,5,35
2,236,34,10,5,36
2,237,34,10,5,37
2,238,34,10,5,38
2,239,34,10,5,39
NA,240,NA,1,5,40
NA,241,NA,1,5,41
NA,242,NA,1,5,42
NA,243,NA,1,5,43
NA,244,NA,1,5,44
NA,245,NA,1,5,45
27,246,13,10,5,46
27,247,13,10,5,47
5,248,19,10,5,48
5,249,19,10,5,49
5,250,19,10,5,50
NA,251,NA,1,6,1
10,252,23,10,6,2
10,253,23,10,6,3
10,254,23,10,6,4
10,255,23,10,6,5
10,256,23,10,6,6
10,257,23,10,6,7
